Hortaliças tuberosas,Inhame caraquento (cará) - Cozido(a),100,1.71,0.12,23.4,1.8
Hortaliças tuberosas,Batata (não especificada) - Cru(a),86,1.71,0.1,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Cozido(a),86,1.71,0.1,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Grelhado(a)/brasa/churrasco,86,1.71,0.1,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Assado(a),86,1.71,0.1,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Frito(a),263.5,2.87,13.64,33.6,3.44
Hortaliças tuberosas,Batata (não especificada) - Refogado(a),111.74,1.71,03.01,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Molho vermelho,73.6,1.63,0.12,17.08,1.94
Hortaliças tuberosas,Batata (não especificada) - Molho branco,101.39,2.15,2.57,17.86,1.68
Hortaliças tuberosas,Batata (não especificada) - Ao vinagrete,111.74,1.71,03.01,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Ensopado,111.74,1.71,03.01,20.01,02.05
Hortaliças tuberosas,Batata (não especificada) - Sopa,31.44,0.95,0.12,07.01,0.71
Hortaliças tuberosas,Batata (não especificada),86,1.71,0.1,20.01,02.05
Hortaliças tuberosas,Mandioquinha - Cozido(a),76,1.37,0.14,17.72,2.5
Hortaliças tuberosas,Mandioquinha - Frito(a),116.4,1.3,5.13,16.83,2.38
Hortaliças tuberosas,Mandioquinha - Refogado(a),91.74,1.37,1.92,17.72,2.5
Hortaliças tuberosas,Mandioquinha - Ensopado,91.74,1.37,1.92,17.72,2.5
Hortaliças tuberosas,Rabanete - Cru(a),16,0.68,0.1,3.4,1.6
Hortaliças tuberosas,Rabanete - Cozido(a),18,0.6,0.1,4.1,1.6
Hortaliças tuberosas,Rabanete - Ao vinagrete,18,0.6,0.1,4.1,1.6
Hortaliças tuberosas,Beterraba - Cru(a),43,1.61,0.17,9.56,2.8
Hortaliças tuberosas,Beterraba - Cozido(a),44,1.68,0.18,9.96,2
Hortaliças tuberosas,Beterraba - Refogado(a),67.62,1.68,2.85,9.96,2
Hortaliças tuberosas,Beterraba - Ao vinagrete,44,1.68,0.18,9.96,2
Hortaliças tuberosas,Beterraba - Sopa,31.44,0.95,0.12,07.01,0.71
Hortaliças tuberosas,Beterraba,43,1.61,0.17,9.56,2.8
Hortaliças tuberosas,Cenoura - Cru(a),41,0.93,0.24,9.58,2.8
Hortaliças tuberosas,Cenoura - Cozido(a),35,0.76,0.18,8.22,3
Hortaliças tuberosas,Cenoura - Frito(a),60.47,0.74,3.17,7.97,2.91
Hortaliças tuberosas,Cenoura - Refogado(a),60.47,0.74,3.17,7.97,2.91
Hortaliças tuberosas,Cenoura - Molho vermelho,32.8,0.87,0.18,7.65,2.7
Hortaliças tuberosas,Cenoura - Ao alho e óleo,60.47,0.74,3.17,7.97,2.91
Hortaliças tuberosas,Cenoura - Com manteiga/óleo,56.74,0.79,2.64,8.22,3
Hortaliças tuberosas,Cenoura - Ao vinagrete,35,0.76,0.18,8.22,3
Hortaliças tuberosas,Cenoura - Ensopado,60.47,0.74,3.17,7.97,2.91
Hortaliças tuberosas,Cenoura - Sopa,31.44,0.95,0.12,07.01,0.71
Hortaliças tuberosas,Cenoura,41,0.93,0.24,9.58,2.8
Hortaliças tuberosas,Nabo - Cozido(a),22,0.71,0.08,05.06,2
Hortaliças tuberosas,Nabo - Refogado(a),47.74,0.71,2.99,05.06,2
Hortaliças tuberosas,Açafrão - Cru(a),310,11.43,5.85,65.37,3.9
Hortaliças tuberosas,Batata-inglesa orgânica - Frito(a),263.5,2.87,13.64,33.6,3.44
"Farinhas, féculas e massas",Creme de arroz,148.32,3.8,3.3,26.07,0.3
